ID	Title	URL	Topic	Year	Instructor	Venue
19	Introduction to Hidden Markov Models	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/221.pptx	1086	2018	Dragomir Radev	Yale
20	Semi Supervised Retrieval, Pagerank	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/624.pptx	1176	2018	Dragomir Radev	Yale
21	NLP Tasks 2	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/152.pptx	1072	2018	Dragomir Radev	Yale
22	Preprocessing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/153.pptx	1073	2018	Dragomir Radev	Yale
23	Machine Translation Techniques	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/452.pptx	1144	2018	Dragomir Radev	Yale
24	Discourse Parsing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/443.pptx	1140	2018	Dragomir Radev	Yale
25	Regular Expressions	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/161.pptx	1074	2018	Dragomir Radev	Yale
26	Why is NLP Hard?	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/114.pptx	1054	2018	Dragomir Radev	Yale
27	Classic Parsing Methods	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/243.pptx	1094	2018	Dragomir Radev	Yale
28	Neural Question Answering	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/755.pptx	1199	2018	Dragomir Radev	Yale
29	QA Architecture and QA Systems 1	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/413.pptx	1127	2018	Dragomir Radev	Yale
30	Noisy Channel Methods for Machine Translation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/453.pptx	1145	2018	Dragomir Radev	Yale
31	Linguistics Basics	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/141.pptx	1067	2018	Dragomir Radev	Yale
32	Introduction to Support Vector Machines and Kernels	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/521.pptx	1161	2018	Dragomir Radev	Yale
33	Semantic Similarity	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/314.pptx	1111	2018	Dragomir Radev	Yale
34	Text Kernels	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/342.pptx	1581	2018	Dragomir Radev	Yale
35	Finite State Transducers	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/163.pptx	1076	2018	Dragomir Radev	Yale
36	Parsing and Context-Free Grammars	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/242.pptx	1093	2018	Dragomir Radev	Yale
37	Natural Language Generation Systems	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/432.pptx	1136	2018	Dragomir Radev	Yale
38	NLP Tasks 1	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/151.pptx	1071	2018	Dragomir Radev	Yale
39	SyntaxNet	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/911.pptx	1206	2018	Dragomir Radev	Yale
40	Coherence and Prosody	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/442.pptx	1139	2018	Dragomir Radev	Yale
41	Word Distributions	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/144.pptx	1070	2018	Dragomir Radev	Yale
42	Search Engine Architecture	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/612.pptx	1170	2018	Dragomir Radev	Yale
43	Parsing Evaluation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/247.pptx	1562	2018	Dragomir Radev	Yale
44	Recursive Neural Networks	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/743.pptx	1192	2018	Dragomir Radev	Yale
45	Semantic Role Labeling	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/367.pptx	1220	2018	Dragomir Radev	Yale
46	Methods used in NLP	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/115.pptx	1055	2018	Dragomir Radev	Yale
47	Evaluation of Language Modeling	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/213.pptx	1083	2018	Dragomir Radev	Yale
48	Phrase Based Machine Translation, Evaluation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/456.pptx	1148	2018	Dragomir Radev	Yale
49	Summarization Evaluation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/425.pptx	1133	2018	Dragomir Radev	Yale
50	Introduction to Word Sense Disambiguation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/391.pptx	1124	2018	Dragomir Radev	Yale
51	Practical Considerations of Classification	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/545.pptx	1165	2018	Dragomir Radev	Yale
52	Sentiment Analysis	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/381.pptx	1122	2018	Dragomir Radev	Yale
53	Bayes Theorem	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/125.pptx	1060	2018	Dragomir Radev	Yale
54	Query Modification	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/622.pptx	1174	2018	Dragomir Radev	Yale
55	Unlexicalized Parsing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/254.pptx	1100	2018	Dragomir Radev	Yale
56	Evaluation of Question Answering	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/412.pptx	1126	2018	Dragomir Radev	Yale
57	QA Architecture and QA Systems 2	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/414.pptx	1128	2018	Dragomir Radev	Yale
58	Collocations	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/352.pptx	1118	2018	Dragomir Radev	Yale
59	Morphology and Lexicon	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/143.pptx	1069	2018	Dragomir Radev	Yale
60	Introduction to Information Retrieval	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/611.pptx	1169	2018	Dragomir Radev	Yale
61	Introduction to Language Modeling	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/211.pptx	1081	2018	Dragomir Radev	Yale
62	Probabilities 2	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/124.pptx	1059	2018	Dragomir Radev	Yale
63	Summarization 4	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/424.pptx	1132	2018	Dragomir Radev	Yale
64	Lexicalized Parsing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/253.pptx	1280	2018	Dragomir Radev	Yale
65	Edit Distance	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/313.pptx	1110	2018	Dragomir Radev	Yale
66	Neural Architectures, Training Neural Networks	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/712.pptx	1182	2018	Dragomir Radev	Yale
67	Prepositional Phrase Attachment 3	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/284.pptx	1537	2018	Dragomir Radev	Yale
68	The Noisy Channel	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/214.pptx	1084	2018	Dragomir Radev	Yale
69	Natural Language Generation Basics	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/431.pptx	1135	2018	Dragomir Radev	Yale
70	Introduction to Dimensionality Reduction	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/341.pptx	1116	2018	Dragomir Radev	Yale
71	Summarization 1	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/421.pptx	1129	2018	Dragomir Radev	Yale
72	Language and Complexity	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/166.pptx	1079	2018	Dragomir Radev	Yale
73	Stemming	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/312.pptx	1109	2018	Dragomir Radev	Yale
74	Machine Translation Basics	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/451.pptx	1143	2018	Dragomir Radev	Yale
75	Introduction to Part of Speech Tagging	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/215.pptx	1085	2018	Dragomir Radev	Yale
76	Neural Summarization	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/754.pptx	1198	2018	Dragomir Radev	Yale
77	Dialogue Systems	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/445.pptx	1142	2018	Dragomir Radev	Yale
78	Dialogue	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/444.pptx	1141	2018	Dragomir Radev	Yale
79	Random Walks and Harmonic Functions	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/623.pptx	1175	2018	Dragomir Radev	Yale
80	Entailment and Paraphrasing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/351.pptx	1117	2018	Dragomir Radev	Yale
81	Sentiment Lexicons	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/382.pptx	1123	2018	Dragomir Radev	Yale
82	NACLO Problems on Parsing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/271.pptx	1105	2018	Dragomir Radev	Yale
83	Classification and kNN 1	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/511.pptx	1153	2018	Dragomir Radev	Yale
84	Toolkits for Information Retrieval	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/614.pptx	1172	2018	Dragomir Radev	Yale
85	Neural Machine Translation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/753.pptx	1197	2018	Dragomir Radev	Yale
86	Penn Treebank	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/246.pptx	1097	2018	Dragomir Radev	Yale
87	Summarization 3	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/423.pptx	1131	2018	Dragomir Radev	Yale
88	Thesaurus-based Similarity	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/316.pptx	1113	2018	Dragomir Radev	Yale
89	Evaluation of Information Retrieval	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/613.pptx	1171	2018	Dragomir Radev	Yale
90	Alternative Syntactic Formalisms	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/261.pptx	1101	2018	Dragomir Radev	Yale
91	Logistic Regression 1	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/516.pptx	1158	2018	Dragomir Radev	Yale
92	Discourse Analysis	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/441.pptx	1138	2018	Dragomir Radev	Yale
93	Information Extraction and Named Entity Recognition	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/232.pptx	1089	2018	Dragomir Radev	Yale
94	Miscellaneous Projects	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/921.pptx	1207	2018	Dragomir Radev	Yale
95	Introduction to Semantics and Logic	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/361.pptx	1120	2018	Dragomir Radev	Yale
96	Prepositional Phrase Attachment 1	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/282.pptx	1107	2018	Dragomir Radev	Yale
97	Relation Extraction	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/233.pptx	1090	2018	Dragomir Radev	Yale
98	Linear Algebra 2	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/122.pptx	1057	2018	Dragomir Radev	Yale
99	Convolutional Neural Networks	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/744.pptx	1193	2018	Dragomir Radev	Yale
100	Vector Representations	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/321.pptx	1114	2018	Dragomir Radev	Yale
101	Knowledge Representation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/363.pptx	1216	2018	Dragomir Radev	Yale
102	Parts of Speech	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/142.pptx	1068	2018	Dragomir Radev	Yale
103	Neural Generation, Dialogue Systems	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/756.pptx	1200	2018	Dragomir Radev	Yale
104	Statistical Parsing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/252.pptx	1099	2018	Dragomir Radev	Yale
105	Neural Parsing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/752.pptx	1196	2018	Dragomir Radev	Yale
106	Summarization 2	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/422.pptx	1130	2018	Dragomir Radev	Yale
107	Introduction to Neural Networks and Deep Learning	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/711.pptx	1181	2018	Dragomir Radev	Yale
108	Tree Adjoining Grammar	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/263.pptx	1103	2018	Dragomir Radev	Yale
109	The IBM Models	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/454.pptx	1146	2018	Dragomir Radev	Yale
110	Recurrent Neural Networks	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/741.pptx	1190	2018	Dragomir Radev	Yale
111	Learning for Hidden Markov Models	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/222.pptx	1087	2018	Dragomir Radev	Yale
112	Perceptron	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/515.pptx	1157	2018	Dragomir Radev	Yale
113	First Order Logic	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/362.pptx	1121	2018	Dragomir Radev	Yale
114	NN Sequence Parsing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/281.pptx	1106	2018	Dragomir Radev	Yale
115	Dependency Syntax	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/255.pptx	1281	2018	Dragomir Radev	Yale
116	Classification and kNN 2	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/512.pptx	1154	2018	Dragomir Radev	Yale
117	Evaluation of Dependency Parsing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/258.pptx	1284	2018	Dragomir Radev	Yale
118	Earley Parsing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/245.pptx	1096	2018	Dragomir Radev	Yale
119	Semantic Parsing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/365.pptx	1218	2018	Dragomir Radev	Yale
120	Word Embeddings	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/721.pptx	1186	2018	Dragomir Radev	Yale
121	Transition-based Dependency Parsing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/257.pptx	1545	2018	Dragomir Radev	Yale
122	NLTK	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/132.pptx	1064	2018	Dragomir Radev	Yale
123	Combinatory Categorial Grammar	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/264.pptx	1104	2018	Dragomir Radev	Yale
124	Vector Semantics	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/322.pptx	1115	2018	Dragomir Radev	Yale
125	History of NLP	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/113.pptx	1053	2018	Dragomir Radev	Yale
126	Introduction to Dependency Parsing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/256.pptx	1282	2018	Dragomir Radev	Yale
127	Probabilities 1	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/123.pptx	1058	2018	Dragomir Radev	Yale
128	Machine Learning Resources	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/134.pptx	1066	2018	Dragomir Radev	Yale
129	CKY Parsing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/244.pptx	1095	2018	Dragomir Radev	Yale
130	Text Similarity Intro	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/311.pptx	1108	2018	Dragomir Radev	Yale
131	Introduction	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/112.pptx	1052	2018	Dragomir Radev	Yale
132	Feature Selection	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/543.pptx	1163	2018	Dragomir Radev	Yale
133	Probabilistic Grammars	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/251.pptx	1098	2018	Dragomir Radev	Yale
134	Natural Language Generation: Features and Unification	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/433.pptx	1137	2018	Dragomir Radev	Yale
135	Syntax Basics	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/241.pptx	1092	2018	Dragomir Radev	Yale
136	Evaluation of Text Classification	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/544.pptx	1164	2018	Dragomir Radev	Yale
137	Statistical Part of Speech Tagging	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/231.pptx	1088	2018	Dragomir Radev	Yale
138	Overview	http://web.stanford.edu/class/cs221/lectures/overview.pdf	1066	2019	Moses Charikar and Dorsa Sadigh	Stanford
139	Machine learning I	http://web.stanford.edu/class/cs221/lectures/learning1.pdf	1066	2019	Moses Charikar and Dorsa Sadigh	Stanford
140	Foundations	http://web.stanford.edu/class/cs221/sections/Spring_2019Section_1.pdf	1066	2019	Moses Charikar and Dorsa Sadigh	Stanford
141	Machine learning III	http://web.stanford.edu/class/cs221/lectures/learning2.pdf	1066	2019	Moses Charikar and Dorsa Sadigh	Stanford
142	Machine learning III	http://web.stanford.edu/class/cs221/lectures/learning3.pdf	1066	2019	Moses Charikar and Dorsa Sadigh	Stanford
143	Learning Sklearn	http://web.stanford.edu/class/cs221/sections/section2.pdf	1331	2019	Moses Charikar and Dorsa Sadigh	Stanford
144	Search I	http://web.stanford.edu/class/cs221/lectures/search1.pdf	1565	2019	Moses Charikar and Dorsa Sadigh	Stanford
145	Search II	http://web.stanford.edu/class/cs221/lectures/search2.pdf	1565	2019	Moses Charikar and Dorsa Sadigh	Stanford
146	Search III	http://web.stanford.edu/class/cs221/sections/section3.pdf	1565	2019	Moses Charikar and Dorsa Sadigh	Stanford
147	MDPs I	http://web.stanford.edu/class/cs221/lectures/mdp1.pdf	1331	2019	Moses Charikar and Dorsa Sadigh	Stanford
148	MDPs II	http://web.stanford.edu/class/cs221/lectures/mdp2.pdf	1331	2019	Moses Charikar and Dorsa Sadigh	Stanford
149	Deep Reinforcement Learning	http://web.stanford.edu/class/cs221/sections/section4.pdf	1336	2019	Moses Charikar and Dorsa Sadigh	Stanford
150	Games I	http://web.stanford.edu/class/cs221/lectures/games1.pdf	1307	2019	Moses Charikar and Dorsa Sadigh	Stanford
151	Machine Learning	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week6.pdf	1066	2014f	Ansaf Salleb-Aouissi	Columbia
152	Introduction	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week1.pdf	1066	2014f	Ansaf Salleb-Aouissi	Columbia
153	Adversarial Search	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week4.pdf	1306â€™	2014f	Ansaf Salleb-Aouissi	Columbia
154	Logistic Regression	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week9_combo.pdf	1158	2014f	Ansaf Salleb-Aouissi	Columbia
155	Problem Solving:Search	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week3.pdf	1303	2014f	Ansaf Salleb-Aouissi	Columbia
156	Intelligent Agent (continued)	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week2.pdf	1312	2014f	Ansaf Salleb-Aouissi	Columbia
157	Linear Models	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week7.pdf	1160	2014f	Ansaf Salleb-Aouissi	Columbia
158	First Order Logic	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week13_FOL.pdf	1121	2014f	Ansaf Salleb-Aouissi	Columbia
159	SVM	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week10_svms.pdf	1161	2014f	Ansaf Salleb-Aouissi	Columbia
160	A* optimality Local Search	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week5_combo.pdf	1565	2014f	Ansaf Salleb-Aouissi	Columbia
161	Logical Agents	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week12_propositional_logic.pdf	1312	2014f	Ansaf Salleb-Aouissi	Columbia
162	Tree classifiers	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week9_trees.pdf	1153	2014f	Ansaf Salleb-Aouissi	Columbia
163	Unsupervised learning	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week11_combo.pdf	1203	2014f	Ansaf Salleb-Aouissi	Columbia
164	Planning	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_11.pdf	1143	2016s	George Konidaris	Duke
165	First-Order Logic	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_6.pdf	1121	2016s	George Konidaris	Duke
166	Machine Learning	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_14.pdf	1066	2016s	George Konidaris	Duke
167	Uncertainty	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_7.pdf	1329	2016s	George Konidaris	Duke
168	Unsupervised Learning	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_16.pdf	1203	2016s	George Konidaris	Duke
169	Introduction to Artificial Intelligence	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_1.pdf	1561	2016s	George Konidaris	Duke
170	Informed Search	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_3.pdf	1304	2016s	George Konidaris	Duke
171	Hidden Markov Models	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_10.pdf	1016	2016s	George Konidaris	Duke
172	GameTheory	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/game_theory.pdf	1307	2016s	George Konidaris	Duke
173	Search	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_2.pdf	1565	2016s	George Konidaris	Duke
174	Philosophical, Social, and Ethical Issues	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_18.pdf	1228	2016s	George Konidaris	Duke
175	Bayesian Networks II	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_9.pdf	1330	2016s	George Konidaris	Duke
176	Robot Motion Planning	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_13.pdf	1340	2016s	George Konidaris	Duke
177	Adversarial Search	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_4.pdf	1306	2016s	George Konidaris	Duke
178	Computing Game-Theoretic Solutions for Security	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/conitzer_guest_lecture.pdf	1307	2016s	George Konidaris	Duke
179	Python	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/python-static.pdf	1063	2016s	George Konidaris	Duke
180	Probabilistic Planning	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_12.pdf	1310	2016s	George Konidaris	Duke
181	Machine Learning	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_15.pdf	1066	2016s	George Konidaris	Duke
182	Knowledge Representation and Reasoning	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_5.pdf	1028	2016s	George Konidaris	Duke
183	Bayesian Networks	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_8.pdf	1330	2016s	George Konidaris	Duke
184	A*: Proof of Optimality	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/astar.pdf	1565	2016s	George Konidaris	Duke
185	Reinforcement Learning	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_17.pdf	1336	2016s	George Konidaris	Duke
186	Markov Decision Processes	http://ai.berkeley.edu/slides/Lecture%208%20--%20MDPs%20I/SP14%20CS188%20Lecture%208%20--%20MDPs%20I.pptx	1331	2014	Dan Klein and Pieter Abbeel	Berkeley
187	Advanced Applications: Computer Vision and Robotics *	http://ai.berkeley.edu/slides/Lecture%2025%20--%20Advanced%20Applications%20(Computer%20Vision,%20Robotics)/SP14%20CS188%20Lecture%2025%20--%20Advanced%20Applications%20(Computer%20Vision%20and%20Robotics).pptx	1338	2014	Dan Klein and Pieter Abbeel	Berkeley
188	Search	http://ai.berkeley.edu/slides/Lecture%202%20--%20Uninformed%20Search/SP14%20CS188%20Lecture%202%20--%20Uninformed%20Search.pptx	1565	2014	Dan Klein and Pieter Abbeel	Berkeley
189	Kernels and Clustering	http://ai.berkeley.edu/slides/Lecture%2023%20--%20Kernels%20and%20Clustering/SP14%20CS188%20Lecture%2023%20--%20Kernels%20and%20Clustering.pptx	1167	2014	Dan Klein and Pieter Abbeel	Berkeley
190	Informed Search	http://ai.berkeley.edu/slides/Lecture%203%20--%20Informed%20Search/SP14%20CS188%20Lecture%203%20--%20Informed%20Search.pptx	1282	2014	Dan Klein and Pieter Abbeel	Berkeley
191	Bayes Nets	http://ai.berkeley.edu/slides/Lecture%2016%20--%20Bayes%20Nets%20I%20Representation/SP14%20CS188%20Lecture%2016%20--%20Bayes%20Nets.pptx	1155	2014	Dan Klein and Pieter Abbeel	Berkeley
192	Particle Filters and Applications of HMMs	http://ai.berkeley.edu/slides/Lecture%2015%20--%20Particle%20Filters%20and%20Applications%20of%20HMMs/SP14%20CS188%20Lecture%2015%20--%20Particle%20Filters%20and%20Applications%20of%20HMMs.pptx	1086	2014	Dan Klein and Pieter Abbeel	Berkeley
193	Constraint Satisfaction Problems II	http://ai.berkeley.edu/slides/Lecture%205%20--%20CSPs%20II/SP14%20CS188%20Lecture%205%20--%20CSPs%20II.pptx	1167	2014	Dan Klein and Pieter Abbeel	Berkeley
194	Bayes Nets: Inference	http://ai.berkeley.edu/slides/Lecture%2018%20--%20Bayes%20Nets%20III%20Inference/SP14%20cs188%20Lecture%2018%20--%20Bayes%20Nets%20III%20Inference.pptx	1330	2014	Dan Klein and Pieter Abbeel	Berkeley
195	Markov Models	http://ai.berkeley.edu/slides/Lecture%2013%20--%20Markov%20Models/SP14%20CS188%20Lecture%2013%20--%20Markov%20Models.pptx	1016	2014	Dan Klein and Pieter Abbeel	Berkeley
