ID	Title	URL	TOPIC_NUM	Year	Instructor	Venue	
21	Search: Best-First Search and A* Search	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture6_best_first_A_star.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
22	Search: A* Optimality Branch and Bound, Pruning	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture7_A_star_optimality_BB.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
23	Introduction to Constraint Satisfaction Problems (CSPs)	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture8_CSPs_intro.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
24	CSPs: Search and Consistency	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture9_CSPs_search.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
25	Lecture 7: Trees II	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_0311.pdf	1201.0	2021	Eunsol Choi	UT Austin	
26	Lecture 9: Neural Network (Sequence) III	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_0330.pdf	1201.0	2021	Eunsol Choi	UT Austin	
27	Lecture 10: Question Answering	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_0401.pdf	1201.0	2021	Eunsol Choi	UT Austin	
28	Lecture 11: Contextualized Word Embeddings / Language Model For Everything	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_0406.pdf	1201.0	2021	Eunsol Choi	UT Austin	
29	Lecture 11: Contextualized Word Embeddings / Language Model For Everything	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_0408.pdf	1201.0	2021	Eunsol Choi	UT Austin	
30	Lecture 12: Machine Translation	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_0415.pdf	1201.0	2021	Eunsol Choi	UT Austin	
31	Lecture 2: Text Classification	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_126.pdf	1201.0	2021	Eunsol Choi	UT Austin	
32	Lecture 2: Text Classification	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_128.pdf	1201.0	2021	Eunsol Choi	UT Austin	
33	Lecture 5: Language Modeling	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_211.pdf	1201.0	2021	Eunsol Choi	UT Austin	
34	Lecture 3: Feedforward Neural Network	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_22.pdf	1201.0	2021	Eunsol Choi	UT Austin	
35	Lecture 6: Sequence Models	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_225.pdf	1201.0	2021	Eunsol Choi	UT Austin	
36	Lecture 3: Feedforward Neural Network	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_24.pdf	1201.0	2021	Eunsol Choi	UT Austin	
37	Lecture 4: Word Embeddings	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_29.pdf	1201.0	2021	Eunsol Choi	UT Austin	
38	Lecture 6: Sequence Models	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_302.pdf	1201.0	2021	Eunsol Choi	UT Austin	
39	Lecture 7: Trees	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_304.pdf	1201.0	2021	Eunsol Choi	UT Austin	
40	Lecture 9: Neural Network (Sequence)	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_323.pdf	1201.0	2021	Eunsol Choi	UT Austin	
41	Lecture 9: Neural Network (Sequence) II	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_325.pdf	1201.0	2021	Eunsol Choi	UT Austin	
42	Lecture 12: Machine Translation	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_421.pdf	1201.0	2021	Eunsol Choi	UT Austin	
43	Lecture 13: Applications / Meta-NLP	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_427.pdf	1201.0	2021	Eunsol Choi	UT Austin	
44	Lecture 13: Applications / Meta-NLP	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_429.pdf	1201.0	2021	Eunsol Choi	UT Austin	
45	Lecture 14: Wrap up / Ethics in NLP	https://www.cs.utexas.edu/~eunsol/courses/cs378_sp21/files/378_56.pdf	1201.0	2021	Eunsol Choi	UT Austin	
46	Papers on Neural Translation at subword-levels	https://www.cs.utexas.edu/~eunsol/courses/cs395t_fa20/files/090320.pdf	1201.0	2020	Eunsol Choi	UT Austin	
47	Neural Decoding	https://www.cs.utexas.edu/~eunsol/courses/cs395t_fa20/files/090820.pdf	1201.0	2020	Eunsol Choi	UT Austin	
48	Unsupervised Generation	https://www.cs.utexas.edu/~eunsol/courses/cs395t_fa20/files/091020.pdf	1201.0	2020	Eunsol Choi	UT Austin	
49	Get To The Point: Summarization with Pointer-Generator Networks tor Networks	https://www.cs.utexas.edu/~eunsol/courses/cs395t_fa20/files/091520.pdf	1201.0	2020	Eunsol Choi	UT Austin	
50	Data-to-text Generation	https://www.cs.utexas.edu/~eunsol/courses/cs395t_fa20/files/091720.pdf	1201.0	2020	Eunsol Choi	UT Austin	
51	Text Generation Models with Auxiliary Objective	https://www.cs.utexas.edu/~eunsol/courses/cs395t_fa20/files/092220.pdf	1201.0	2020	Eunsol Choi	UT Austin	
52	Visual Question Answering	https://www.cs.utexas.edu/~eunsol/courses/cs395t_fa20/files/100120.pdf	1201.0	2020	Eunsol Choi	UT Austin	
53	Language Generation Grounded in Images	https://www.cs.utexas.edu/~eunsol/courses/cs395t_fa20/files/100620.pdf	1201.0	2020	Eunsol Choi	UT Austin	
54	Translating Natural Language into Actions in Language Games	https://www.cs.utexas.edu/~eunsol/courses/cs395t_fa20/files/100820.pdf	1201.0	2020	Eunsol Choi	UT Austin	
55	NLP + ACTION	https://www.cs.utexas.edu/~eunsol/courses/cs395t_fa20/files/101320.pdf	1201.0	2020	Eunsol Choi	UT Austin	
56	QUESTION ANSWERING AND REASONING	https://www.cs.utexas.edu/~eunsol/courses/cs395t_fa20/files/110320.pdf	1201.0	2020	Eunsol Choi	UT Austin	
57	Open Domain QA	https://www.cs.utexas.edu/~eunsol/courses/cs395t_fa20/files/110520.pdf	1201.0	2020	Eunsol Choi	UT Austin	
58	QA Datasets	https://www.cs.utexas.edu/~eunsol/courses/cs395t_fa20/files/111020.pdf	1201.0	2020	Eunsol Choi	UT Austin	
59	Question Generation	https://www.cs.utexas.edu/~eunsol/courses/cs395t_fa20/files/111220.pdf	1201.0	2020	Eunsol Choi	UT Austin	
60	On Explanations of Question Answering Models	https://www.cs.utexas.edu/~eunsol/courses/cs395t_fa20/files/111720.pdf	1201.0	2020	Eunsol Choi	UT Austin	
61	REFRAMING OTHER PROBLEMS AS QA	https://www.cs.utexas.edu/~eunsol/courses/cs395t_fa20/files/111920.pdf	1201.0	2020	Eunsol Choi	UT Austin	
62	course introduction	https://people.cs.umass.edu/~miyyer/cs685/slides/00-intro.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
63	language modeling	https://people.cs.umass.edu/~miyyer/cs685/slides/01-language-models.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
64	neural language models	https://people.cs.umass.edu/~miyyer/cs685/slides/02-neural-lms.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
65	Lecture 3	https://people.cs.umass.edu/~miyyer/cs685/slides/03-backprop.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
66	Lecture 4	https://people.cs.umass.edu/~miyyer/cs685/slides/04-cross-entropy.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
67	Lecture 5	https://people.cs.umass.edu/~miyyer/cs685/slides/05-attention.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
68	Lecture 6	https://people.cs.umass.edu/~miyyer/cs685/slides/06-transformers.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
69	Lecture 7	https://people.cs.umass.edu/~miyyer/cs685/slides/07-transfer.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
70	Lecture 8	https://people.cs.umass.edu/~miyyer/cs685/slides/08-qa.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
71	Lecture 9	https://people.cs.umass.edu/~miyyer/cs685/slides/09-intermediate-transfer.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
72	Lecture 10	https://people.cs.umass.edu/~miyyer/cs685/slides/10-betterberts.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
73	Lecture 11	https://people.cs.umass.edu/~miyyer/cs685/slides/11-gpt3.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
74	Lecture 12	https://people.cs.umass.edu/~miyyer/cs685/slides/12-textgen.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
75	Lecture 13	https://people.cs.umass.edu/~miyyer/cs685/slides/13-paraphrase.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
76	Lecture 14	https://people.cs.umass.edu/~miyyer/cs685/slides/14-crowdsourcing.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
77	Lecture 15	https://people.cs.umass.edu/~miyyer/cs685/slides/15-distillation.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
78	Lecture 16	https://people.cs.umass.edu/~miyyer/cs685/slides/16-retrieval-lms.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
79	Lecture 17	https://people.cs.umass.edu/~miyyer/cs685/slides/17-vision.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
80	Lecture 18	https://people.cs.umass.edu/~miyyer/cs685/slides/18-ethics.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
81	Lecture 19	https://people.cs.umass.edu/~miyyer/cs685/slides/19-probes.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
82	Lecture 20	https://people.cs.umass.edu/~miyyer/cs685/slides/20-semantic-parsing.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
83	Lecture 21	https://people.cs.umass.edu/~miyyer/cs685/slides/21-commonsense.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
84	Parallelization of self-attention at training time	https://people.cs.umass.edu/~miyyer/cs685/slides/attention_parallelization.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
85	BERT	https://people.cs.umass.edu/~miyyer/cs685/slides/bert.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
86	Better BERTs	https://people.cs.umass.edu/~miyyer/cs685/slides/better_BERTs.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
87	Final Projects	https://people.cs.umass.edu/~miyyer/cs685/slides/final-projects.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
88	Intermediate finetuning	https://people.cs.umass.edu/~miyyer/cs685/slides/intermediate-finetuning.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
89	Transfer Learning	https://people.cs.umass.edu/~miyyer/cs685/slides/transfer_learning.pdf	1201.0	2020	Mohit Iyyer	UMass Amherst	
90	CSC 2515 Lecture 1 - Introduction and Nearest Neighbours	https://www.cs.toronto.edu/~rgrosse/courses/csc2515_2019/slides/lec01-slides.pdf	1559.0	2019	Roger Grosse	University of Toronto	
91	CSC 2515 Lecture 2: Decision Trees and Ensembles	https://www.cs.toronto.edu/~rgrosse/courses/csc2515_2019/slides/lec02-slides.pdf	1559.0	2019	Roger Grosse	University of Toronto	
92	CSC 411 Lecture 3: Linear Models I	https://www.cs.toronto.edu/~rgrosse/courses/csc2515_2019/slides/lec03-slides.pdf	1559.0	2019	Roger Grosse	University of Toronto	
93	CSC 2515 Lecture 4: Linear Models II	https://www.cs.toronto.edu/~rgrosse/courses/csc2515_2019/slides/lec04-slides.pdf	1559.0	2019	Roger Grosse	University of Toronto	
94	CSC 2515 Lecture 5: Neural Networks I	https://www.cs.toronto.edu/~rgrosse/courses/csc2515_2019/slides/lec05-slides.pdf	1559.0	2019	Roger Grosse	University of Toronto	
95	CSC2515 Lecture 6: Convolutional Networks	https://www.cs.toronto.edu/~rgrosse/courses/csc2515_2019/slides/lec06-slides.pdf	1559.0	2019	Roger Grosse	University of Toronto	
96	CSC2515 Lecture 7: PCA and K-Means	https://www.cs.toronto.edu/~rgrosse/courses/csc2515_2019/slides/lec07-slides.pdf	1559.0	2019	Roger Grosse	University of Toronto	
97	CSC2515 Lecture 8: Probabilistic Models	https://www.cs.toronto.edu/~rgrosse/courses/csc2515_2019/slides/lec08-slides.pdf	1559.0	2019	Roger Grosse	University of Toronto	
98	CSC 2515 Lecture 9: Expectation-Maximization	https://www.cs.toronto.edu/~rgrosse/courses/csc2515_2019/slides/lec09-slides.pdf	1559.0	2019	Roger Grosse	University of Toronto	
99	CSC 2515 Lecture 10: Reinforcement Learning	https://www.cs.toronto.edu/~rgrosse/courses/csc2515_2019/slides/lec10-slides.pdf	1559.0	2019	Roger Grosse	University of Toronto	
100	CSC 2515 Lecture 11: Differential Privacy	https://www.cs.toronto.edu/~rgrosse/courses/csc2515_2019/slides/lec11-slides.pdf	1559.0	2019	Roger Grosse	University of Toronto	
101	CSC 2515 Lecture 12: Algorithmic Fairness	https://www.cs.toronto.edu/~rgrosse/courses/csc2515_2019/slides/lec12-slides.pdf	1559.0	2019	Roger Grosse	University of Toronto	
102	Model-Based RL	https://www.cs.toronto.edu/~rgrosse/courses/csc2515_2019/tutorials/tut10/tutorial10-slides.pdf	1559.0	2019	Roger Grosse	University of Toronto	
103	CSC2515: Final Exam Review	https://www.cs.toronto.edu/~rgrosse/courses/csc2515_2019/tutorials/tut11/ExamReview.pdf	1559.0	2019	Roger Grosse	University of Toronto	
104	SVD & Information Theory	https://www.cs.toronto.edu/~rgrosse/courses/csc2515_2019/tutorials/tut2/tut2_svd_info.pdf	1559.0	2019	Roger Grosse	University of Toronto	
105	CSC2515: Midterm Review	https://www.cs.toronto.edu/~rgrosse/courses/csc2515_2019/tutorials/tut7/Midterm_Review_Tutorial.pdf	1559.0	2019	Roger Grosse	University of Toronto	
106	CSC2515: Midterm Review	https://www.cs.toronto.edu/~rgrosse/courses/csc2515_2019/tutorials/tut7/Midterm_Review_Tutorial.pdf	1559.0	2019	Roger Grosse	University of Toronto	
107	RL Tutorial	https://www.cs.toronto.edu/~rgrosse/courses/csc2515_2019/tutorials/tut9/RL_tutorial.pdf	1559.0	2019	Roger Grosse	University of Toronto	
108	CSC2541 for the Busy	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/busy.pdf	1006.0	2021	Roger Grosse	University of Toronto	
109	The Implicit and Explicit Regularization Effects of Dropout	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/presentations/CSC2541_Presentation_Implicit_Explicit_Regularization_DropOut.pdf	1006.0	2021	Roger Grosse	University of Toronto	
110	Gradient Descent on Neural Networks Typically Occurs on the Edge of Stability	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/presentations/csc2541-eos.pdf	1006.0	2021	Roger Grosse	University of Toronto	
111	Deep Equilibrium Models	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/presentations/Deep%20Equilibrium%20Models.pdf	1006.0	2021	Roger Grosse	University of Toronto	
112	Gradient-based Hyperparameter Optimization through Reversible Learning	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/presentations/Gradient-based%20Hyperparameter%20Optimization%20through%20Reversible%20Learning.pdf	1006.0	2021	Roger Grosse	University of Toronto	
113	Neural Tangent Kernel: Convergence and Generalization in Neural Networks	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/presentations/NTK.pdf	1006.0	2021	Roger Grosse	University of Toronto	
114	A mathematical theory of semantic development in deep neural networks	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/presentations/slides_week10_saxe_et_al.pdf	1006.0	2021	Roger Grosse	University of Toronto	
115	Chapter 1 A Toy Model: Linear Regression	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/readings/L01_intro.pdf	1006.0	2021	Roger Grosse	University of Toronto	
116	Chapter 2: Taylor Approximations	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/readings/L02_Taylor_approximations.pdf	1006.0	2021	Roger Grosse	University of Toronto	
117	Chapter 3: Metrics	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/readings/L03_metrics.pdf	1006.0	2021	Roger Grosse	University of Toronto	
118	Chapter 4 Second-Order Optimization	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/readings/L04_second_order.pdf	1006.0	2021	Roger Grosse	University of Toronto	
119	Chapter 5 Adaptive Gradient Methods, Normalization, and Weight Decay	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/readings/L05_normalization.pdf	1006.0	2021	Roger Grosse	University of Toronto	
120	CSC 2541: Neural Net Training Dynamics Lecture 1 - A Toy Model: Linear Regression	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/slides/lec01.pdf	1006.0	2021	Roger Grosse	University of Toronto	
121	CSC 2541: Neural Net Training Dynamics Lecture 2 - Taylor Approximations	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/slides/lec02.pdf	1006.0	2021	Roger Grosse	University of Toronto	
122	CSC 2541: Neural Net Training Dynamics Lecture 3 - Metrics	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/slides/lec03.pdf	1006.0	2021	Roger Grosse	University of Toronto	
123	CSC 2541: Neural Net Training Dynamics Lecture 4 - Second-Order Optimization	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/slides/lec04.pdf	1006.0	2021	Roger Grosse	University of Toronto	
124	CSC 2541: Neural Net Training Dynamics Lecture 5 - Adaptive Gradient Methods, Normalization, and Weight Decay	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/slides/lec5.pdf	1006.0	2021	Roger Grosse	University of Toronto	
125	CSC 2541: Neural Net Training Dynamics Lecture 6 - Infinite Limits and Overparameterization	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/slides/lec06.pdf	1006.0	2021	Roger Grosse	University of Toronto	
126	CSC 2541: Neural Net Training Dynamics Lecture 7 - Stochasticity and Parellelism	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/slides/lec07.pdf	1006.0	2021	Roger Grosse	University of Toronto	
127	CSC 2541: Neural Net Training Dynamics Lecture 8 - Implicit Regularization and Bayesian Inference	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/slides/lec08.pdf	1006.0	2021	Roger Grosse	University of Toronto	
128	CSC 2541: Neural Net Training Dynamics Lecture 9 - Momentum	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/slides/lec09.pdf	1006.0	2021	Roger Grosse	University of Toronto	
129	CSC 2541: Neural Net Training Dynamics Lecture 10 - Differential Games	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/slides/lec10.pdf	1006.0	2021	Roger Grosse	University of Toronto	
130	CSC 2541: Neural Net Training Dynamics Lecture 11 - Bilevel Optimization	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/slides/lec11.pdf	1006.0	2021	Roger Grosse	University of Toronto	
131	CSC 2541: Neural Net Training Dynamics Lecture 12 - Closing Thoughts	https://www.cs.toronto.edu/~rgrosse/courses/csc2541_2021/slides/lec12.pdf	1006.0	2021	Roger Grosse	University of Toronto	
132	Lecture 3, Part 1: Linear Classification	https://www.cs.toronto.edu/~rgrosse/courses/csc311_f20/readings/L03a%20Linear%20Classifiers.pdf	1559.0	2020	Roger Grosse, Chris Maddison, Juhan Bae, Silviu Pitis	University of Toronto	
133	Lecture 3, Part 2: Training a Classifier	https://www.cs.toronto.edu/~rgrosse/courses/csc311_f20/readings/L03b%20Training%20a%20Classifier.pdf	1559.0	2020	Roger Grosse, Chris Maddison, Juhan Bae, Silviu Pitis	University of Toronto	
134	Lecture 5: Generalization	https://www.cs.toronto.edu/~rgrosse/courses/csc311_f20/readings/L05%20Generalization.pdf	1559.0	2020	Roger Grosse, Chris Maddison, Juhan Bae, Silviu Pitis	University of Toronto	
135	Lecture 7: Probabilistic Models	https://www.cs.toronto.edu/~rgrosse/courses/csc311_f20/readings/L07%20Probabilistic%20Models.pdf	1559.0	2020	Roger Grosse, Chris Maddison, Juhan Bae, Silviu Pitis	University of Toronto	
136	Lecture 10: Mixture modeling	https://www.cs.toronto.edu/~rgrosse/courses/csc311_f20/readings/L10%20Mixture%20Modeling.pdf	1559.0	2020	Roger Grosse, Chris Maddison, Juhan Bae, Silviu Pitis	University of Toronto	
137	Lecture 2: Linear regression	https://www.cs.toronto.edu/~rgrosse/courses/csc311_f20/readings/notes_on_linear_regression.pdf	1559.0	2020	Roger Grosse, Chris Maddison, Juhan Bae, Silviu Pitis	University of Toronto	
138	BASIC MULTIVARIABLE CALCULUS	https://www.cs.toronto.edu/~rgrosse/courses/csc311_f20/readings/notes_on_multivariable_calculus.pdf	1559.0	2020	Roger Grosse, Chris Maddison, Juhan Bae, Silviu Pitis	University of Toronto	
139	CSC 311: Introduction to Machine Learning Lecture 1 - Introduction and Nearest Neighbors	https://www.cs.toronto.edu/~rgrosse/courses/csc311_f20/slides/lec01.pdf	1559.0	2020	Roger Grosse, Chris Maddison, Juhan Bae, Silviu Pitis	University of Toronto	
140	CSC 311: Introduction to Machine Learning Lecture 2 - Linear Methods for Regression, Optimization	https://www.cs.toronto.edu/~rgrosse/courses/csc311_f20/slides/lec02.pdf	1559.0	2020	Roger Grosse, Chris Maddison, Juhan Bae, Silviu Pitis	University of Toronto	
141	CSC 311: Introduction to Machine Learning Lecture 3 - Linear Classifiers, Logistic Regression, Multiclass Classification	https://www.cs.toronto.edu/~rgrosse/courses/csc311_f20/slides/lec03.pdf	1559.0	2020	Roger Grosse, Chris Maddison, Juhan Bae, Silviu Pitis	University of Toronto	
142	CSC 311: Introduction to Machine Learning Lecture 4 - Neural Networks	https://www.cs.toronto.edu/~rgrosse/courses/csc311_f20/slides/lec04.pdf	1559.0	2020	Roger Grosse, Chris Maddison, Juhan Bae, Silviu Pitis	University of Toronto	
143	CSC 311: Introduction to Machine Learning Lecture 5 - Decision Trees & Bias-Variance Decomposition	https://www.cs.toronto.edu/~rgrosse/courses/csc311_f20/slides/lec05.pdf	1559.0	2020	Roger Grosse, Chris Maddison, Juhan Bae, Silviu Pitis	University of Toronto	
144	CSC 311: Introduction to Machine Learning Lecture 6 - Bagging, Boosting	https://www.cs.toronto.edu/~rgrosse/courses/csc311_f20/slides/lec06.pdf	1559.0	2020	Roger Grosse, Chris Maddison, Juhan Bae, Silviu Pitis	University of Toronto	
145	CSC 311: Introduction to Machine Learning Lecture 7 - Probabilistic Models	https://www.cs.toronto.edu/~rgrosse/courses/csc311_f20/slides/lec07.pdf	1559.0	2020	Roger Grosse, Chris Maddison, Juhan Bae, Silviu Pitis	University of Toronto	
146	CSC 311: Introduction to Machine Learning Lecture 8 - Probabilistic Models Pt. II, PCA	https://www.cs.toronto.edu/~rgrosse/courses/csc311_f20/slides/lec08.pdf	1559.0	2020	Roger Grosse, Chris Maddison, Juhan Bae, Silviu Pitis	University of Toronto	
147	CSC 311: Introduction to Machine Learning Lecture 9 - PCA cont’d, Autoencoders, Matrix Factorization	https://www.cs.toronto.edu/~rgrosse/courses/csc311_f20/slides/lec09.pdf	1559.0	2020	Roger Grosse, Chris Maddison, Juhan Bae, Silviu Pitis	University of Toronto	
148	CSC 311: Introduction to Machine Learning Lecture 10 - k-Means and EM Algorithm	https://www.cs.toronto.edu/~rgrosse/courses/csc311_f20/slides/lec10.pdf	1559.0	2020	Roger Grosse, Chris Maddison, Juhan Bae, Silviu Pitis	University of Toronto	
149	CSC 311: Introduction to Machine Learning Lecture 11 - Reinforcement Learning	https://www.cs.toronto.edu/~rgrosse/courses/csc311_f20/slides/lec11.pdf	1559.0	2020	Roger Grosse, Chris Maddison, Juhan Bae, Silviu Pitis	University of Toronto	
